category,concept_id,score,fi
Cancer,256633,1,vafi
Cancer,434587,1,vafi
Cancer,4156114,1,vafi
Cancer,437220,1,vafi
Cancer,436042,1,vafi
Cancer,434289,1,vafi
Cancer,436043,1,vafi
Cancer,437498,1,vafi
Cancer,435478,1,vafi
Cancer,440335,1,vafi
Cancer,140950,1,vafi
Cancer,438982,1,vafi
Cancer,440344,1,vafi
Cancer,140955,1,vafi
Cancer,135750,1,vafi
Cancer,438694,1,vafi
Cancer,254282,1,vafi
Cancer,434285,1,vafi
Cancer,4001170,1,vafi
Cancer,134290,1,vafi
Cancer,134579,1,vafi
Cancer,261808,1,vafi
Cancer,433704,1,vafi
Cancer,439404,1,vafi
Cancer,434588,1,vafi
Cancer,4247836,1,vafi
Cancer,439738,1,vafi
Cancer,433709,1,vafi
Cancer,440047,1,vafi
Cancer,4002498,1,vafi
Cancer,31509,1,vafi
Cancer,438360,1,vafi
Cancer,436643,1,vafi
Cancer,440345,1,vafi
Cancer,439739,1,vafi
Cancer,4003674,1,vafi
Cancer,438691,1,vafi
Cancer,432833,1,vafi
Cancer,441223,1,vafi
Cancer,436344,1,vafi
Cancer,438692,1,vafi
Cancer,438080,1,vafi
Cancer,432558,1,vafi
Cancer,4095312,1,vafi
Cancer,442131,1,vafi
Cancer,435190,1,vafi
Cancer,436922,1,vafi
Cancer,434577,1,vafi
Cancer,435474,1,vafi
Cancer,440044,1,vafi
Cancer,439746,1,vafi
Cancer,28083,1,vafi
Cancer,432254,1,vafi
Cancer,444224,1,vafi
Cancer,432260,1,vafi
Cancer,437805,1,vafi
Cancer,193138,1,vafi
Cancer,25748,1,vafi
Cancer,26638,1,vafi
Cancer,432838,1,vafi
Cancer,435751,1,vafi
Cancer,193422,1,vafi
Cancer,438089,1,vafi
Cancer,192255,1,vafi
Cancer,434292,1,vafi
Cancer,437224,1,vafi
Cancer,197803,1,vafi
Cancer,196044,1,vafi
Cancer,435752,1,vafi
Cancer,436913,1,vafi
Cancer,4311480,1,vafi
Cancer,4094863,1,vafi
Cancer,199747,1,vafi
Cancer,192836,1,vafi
Cancer,432837,1,vafi
Cancer,433143,1,vafi
Cancer,4247719,1,vafi
Cancer,438979,1,vafi
Cancer,432257,1,vafi
Cancer,437798,1,vafi
Cancer,441800,1,vafi
Cancer,436635,1,vafi
Cancer,79740,1,vafi
Cancer,197500,1,vafi
Cancer,438699,1,vafi
Cancer,74582,1,vafi
Cancer,80045,1,vafi
Cancer,436348,1,vafi
Cancer,4003675,1,vafi
Cancer,438090,1,vafi
Cancer,4001171,1,vafi
Cancer,4001664,1,vafi
Cancer,4001172,1,vafi
Cancer,4003021,1,vafi
Cancer,4115271,1,vafi
Cancer,4246127,1,vafi
Cancer,197806,1,vafi
Cancer,40486896,1,vafi
